,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,type,fuel,transmission
0,Royal Enfield Classic 350,175000,2019,Individual,1st owner,350,,Two Wheeler,Petrol,NaN
1,Honda Dio,45000,2017,Individual,1st owner,5650,,Two Wheeler,Petrol,NaN
2,Royal Enfield Classic Gunmetal Grey,150000,2018,Individual,1st owner,12000,148114.0,Two Wheeler,Petrol,NaN
3,Yamaha Fazer FI V 2.0 [2016-2018],65000,2015,Individual,1st owner,23000,89643.0,Two Wheeler,Petrol,NaN
4,Yamaha SZ [2013-2014],20000,2011,Individual,2nd owner,21000,,Two Wheeler,Petrol,NaN
5,Honda CB Twister,18000,2010,Individual,1st owner,60000,53857.0,Two Wheeler,Petrol,NaN
6,Honda CB Hornet 160R,78500,2018,Individual,1st owner,17000,87719.0,Two Wheeler,Petrol,NaN
7,Royal Enfield Bullet 350 [2007-2011],180000,2008,Individual,2nd owner,39000,,Two Wheeler,Petrol,NaN
8,Hero Honda CBZ extreme,30000,2010,Individual,1st owner,32000,,Two Wheeler,Petrol,NaN
9,Bajaj Discover 125,50000,2016,Individual,1st owner,42000,60122.0,Two Wheeler,Petrol,NaN
10,Yamaha FZ16,35000,2015,Individual,1st owner,32000,78712.0,Two Wheeler,Petrol,NaN
11,Honda Navi,28000,2016,Individual,2nd owner,10000,47255.0,Two Wheeler,Petrol,NaN
12,Bajaj Avenger Street 220,80000,2018,Individual,1st owner,21178,95955.0,Two Wheeler,Petrol,NaN
13,Yamaha YZF R3,365000,2019,Individual,1st owner,1127,351680.0,Two Wheeler,Petrol,NaN
14,Jawa 42,185000,2020,Individual,1st owner,1700,,Two Wheeler,Petrol,NaN
15,Suzuki Access 125 [2007-2016],25000,2012,Individual,1st owner,55000,58314.0,Two Wheeler,Petrol,NaN
16,Hero Honda Glamour,25000,2006,Individual,1st owner,27000,,Two Wheeler,Petrol,NaN
17,Yamaha YZF R15 S,40000,2010,Individual,2nd owner,45000,117926.0,Two Wheeler,Petrol,NaN
18,Royal Enfield Classic Gunmetal Grey,150000,2018,Individual,1st owner,23000,148114.0,Two Wheeler,Petrol,NaN
19,Yamaha FZ25,120000,2018,Individual,1st owner,39000,132680.0,Two Wheeler,Petrol,NaN
20,Hero Passion Pro 110,15000,2008,Individual,1st owner,60000,,Two Wheeler,Petrol,NaN
21,Honda Navi [2016-2017],26000,2016,Individual,1st owner,17450,44389.0,Two Wheeler,Petrol,NaN
22,Honda Activa i,32000,2013,Individual,2nd owner,20696,53900.0,Two Wheeler,Petrol,NaN
23,Jawa Standard,180000,2019,Individual,1st owner,2000,,Two Wheeler,Petrol,NaN
24,Royal Enfield Thunderbird 350,110000,2016,Individual,1st owner,20000,,Two Wheeler,Petrol,NaN
25,Honda Dream Yuga,25000,2012,Individual,1st owner,35000,56147.0,Two Wheeler,Petrol,NaN
26,TVS Apache RTR 160 4V,80000,2018,Individual,1st owner,15210,,Two Wheeler,Petrol,NaN
27,Honda Navi [2016-2017],42000,2017,Individual,1st owner,24000,44389.0,Two Wheeler,Petrol,NaN
28,Yamaha Fazer [2009-2016],40000,2013,Individual,3rd owner,35000,84751.0,Two Wheeler,Petrol,NaN
29,Hero Honda Splendor NXG,21000,2009,Individual,1st owner,10000,,Two Wheeler,Petrol,NaN
30,Hero Glamour 125,55000,2017,Individual,1st owner,2500,61600.0,Two Wheeler,Petrol,NaN
31,Yamaha FZ S [2012-2016],38000,2013,Individual,1st owner,75000,79432.0,Two Wheeler,Petrol,NaN
32,Hero Xtreme Sports,43000,2016,Individual,2nd owner,50000,78350.0,Two Wheeler,Petrol,NaN
33,Honda X-Blade,65000,2018,Individual,1st owner,27000,,Two Wheeler,Petrol,NaN
34,Honda CB Shine SP,62000,2019,Individual,1st owner,10000,71049.0,Two Wheeler,Petrol,NaN
35,Honda Activa 5G,60000,2018,Individual,1st owner,6502,57557.0,Two Wheeler,Petrol,NaN
36,Hero Glamour 125,45000,2018,Individual,1st owner,21000,61600.0,Two Wheeler,Petrol,NaN
37,Honda CBR-250R,120000,2016,Individual,1st owner,16000,202310.0,Two Wheeler,Petrol,NaN
38,Hero Honda Passion PRO [2012],30000,2011,Individual,1st owner,42000,,Two Wheeler,Petrol,NaN
39,Royal Enfield Thunderbird 350,90000,2015,Individual,3rd owner,13000,,Two Wheeler,Petrol,NaN
40,Bajaj Dominar 400,125000,2017,Individual,1st owner,12800,,Two Wheeler,Petrol,NaN
41,Hero Glamour FI,50000,2018,Individual,1st owner,20000,71150.0,Two Wheeler,Petrol,NaN
42,KTM 390 Duke,175000,2017,Individual,1st owner,4600,,Two Wheeler,Petrol,NaN
43,Hero Passion XPro,28000,2012,Individual,1st owner,81000,56750.0,Two Wheeler,Petrol,NaN
44,Yamaha FZ S V 2.0,85000,2018,Individual,1st owner,8000,84042.0,Two Wheeler,Petrol,NaN
45,Hero Achiever 150,29900,2016,Individual,1st owner,55000,69750.0,Two Wheeler,Petrol,NaN
46,Bajaj Discover 125,25000,2011,Individual,1st owner,57000,60122.0,Two Wheeler,Petrol,NaN
47,Yamaha FZ16,30000,2009,Individual,2nd owner,26000,78712.0,Two Wheeler,Petrol,NaN
48,Yamaha Saluto,60000,2018,Individual,1st owner,13000,59844.0,Two Wheeler,Petrol,NaN
49,Yamaha FZ16,35000,2012,Individual,2nd owner,29000,78712.0,Two Wheeler,Petrol,NaN
50,Bajaj Discover 100,25000,2010,Individual,1st owner,43000,42859.0,Two Wheeler,Petrol,NaN
51,Honda CB Trigger,30000,2015,Individual,1st owner,40000,73413.0,Two Wheeler,Petrol,NaN
52,Royal Enfield Electra 5 S,90000,2010,Individual,2nd owner,40000,,Two Wheeler,Petrol,NaN
53,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,49900.0,Two Wheeler,Petrol,NaN
54,Honda Activa 5G,70000,2019,Individual,1st owner,3000,59422.0,Two Wheeler,Petrol,NaN
55,Hero Honda Passion Plus,25000,2006,Individual,1st owner,75000,,Two Wheeler,Petrol,NaN
56,Bajaj Pulsar 150,25000,2010,Individual,1st owner,42000,,Two Wheeler,Petrol,NaN
57,Royal Enfield Bullet 350,90000,2014,Individual,1st owner,13000,,Two Wheeler,Petrol,NaN
58,Bajaj Discover 125,25000,2013,Individual,1st owner,55000,57549.0,Two Wheeler,Petrol,NaN
59,Bajaj Pulsar 150 [2001-2011],42000,2011,Individual,1st owner,23000,,Two Wheeler,Petrol,NaN
60,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,51994.0,Two Wheeler,Petrol,NaN
61,Hero Xtreme Sports,50000,2014,Individual,1st owner,80000,80350.0,Two Wheeler,Petrol,NaN
62,Honda Activa 3G,30000,2015,Individual,1st owner,39000,54605.0,Two Wheeler,Petrol,NaN
63,Yamaha FZ16,48000,2016,Individual,1st owner,20000,78712.0,Two Wheeler,Petrol,NaN
64,Honda CB Hornet 160R,65000,2016,Individual,1st owner,30000,88161.0,Two Wheeler,Petrol,NaN
65,Royal Enfield Thunderbird 350,85000,2013,Individual,1st owner,21000,,Two Wheeler,Petrol,NaN
66,Hero Hunk,45000,2014,Individual,1st owner,41000,78513.0,Two Wheeler,Petrol,NaN
67,Suzuki Let''s,34000,2014,Individual,1st owner,8000,50098.0,Two Wheeler,Petrol,NaN
68,Royal Enfield Electra 4 S,90000,2008,Individual,1st owner,50000,,Two Wheeler,Petrol,NaN
